Code,Severity,Description,User Severity,rpt msg,solution
OPT-209,Warning,"NAME
       OPT-209 (Warning) Design includes unreasonable large hold violation(s).

DESCRIPTION
       Unreasonable  hold  violation here means the hold violation is so large
       that it costs more than 20 max-delay buffers to fix.   However,  fixing
       such  hold violations usually leads to density and QoR issues, so it is
       now skipped in the hold fixing engine by default.

WHAT NEXT
       Please check those large hold violations and try  to  resolve  them  in
       advance  before rerunning the optimization flow.  If you still want the
       tool to fix these large violations with current library setup, you  can
       use
        set_early_data_check_policy    -policy   tolerate   -checks   opt.san-
       ity_check.large_hold  -strategy  report_only  ,  before  clock_opt   or
       route_opt.

SEE ALSO
       report_qor(2)
       report_units(2)",[fill severity],Warning: Design includes unreasonable large hold violation(s). (OPT-209) (MSG-3032),[fill solution]
PDC-003,Warning,"NAME
       PDC-003 (Warning) Routing direction of metal layer %s is neither ""hori-
       zontal"" nor ""vertical"".  PDC checks  will  not  be  performed  on  this
       layer.

DESCRIPTION
       This  warning  message indicates that no routing direction has been set
       on the metal layer.  This may result in DRC violations due  to  illegal
       placement.

WHAT NEXT
       set_attribute  [get_layer <layer>] routing_direction <horizontal/verti-
       cal>",[fill severity],"Warning: Routing direction of metal layer PO is neither ""horizontal"" nor ""vertical"".  PDC checks will not be performed on this layer. (PDC-003) (MSG-3032)",[fill solution]
POW-009,Warning,"NAME
       POW-009 (warning) Power analysis is disabled %s as leakage/swcap/inter-
       nal   mode   power   app   options   can   be    off    and/or    leak-
       age_power/dynamic_power scenario flags are set to false.

DESCRIPTION
       This  message  occurs  when  the  scenario power flags are false and/or
       leakage/swcap/internal app options are 'off'.

WHAT NEXT
       Set the required power analysis app option to 'on' and enable the  sce-
       nario power flags.

SEE ALSO
       report_power(2)
       report_scenarios(2)
       power.leakage_mode(3)
       power.swcap_mode(3)
       power.internal_mode(3)",[fill severity],Warning: Power analysis is disabled for scenario 'FUNC_0.85V_HOLD' as leakage/swcap/internal mode power app options can be off and/or leakage_power/dynamic_power scenario flags are set to false. (POW-009) (MSG-3032),[fill solution]
POW-046,Warning,"NAME
       POW-046 (warning) Power table extrapolation (%s mode) for port %s on %s
       for parameter %s. Lowest table value = %f, highest table  value  =  %f,
       value = %f

DESCRIPTION
       This  message  is  given  when a parameter during power table access is
       outside of the table range. Based on the mode, it will be  extrapolated
       or clipped to the range.

WHAT NEXT
       The  extrapolation mode can be set by app option power.table_extrapola-
       tion

SEE ALSO
       report_power(2)",[fill severity],"Warning: Power table extrapolation (extrapolation mode) for port QN on cell lreset_sync/reset_sync_reg for parameter Cout. Lowest table value = 0.000100, highest table value = 0.008000, value = 0.000000 (POW-046) (MSG-3032)",[fill solution]
PVT-030,Warning,"NAME
       PVT-030  (warning)  Corner %s:  %d process number, %d process label, %d
       voltage, and %d temperature mismatches.

DESCRIPTION
       This message is issued when there are mismatches between the  specified
       and  effective values of the process number, process label, voltage, or
       temperature  operating  conditions  of  a   particular   corner.    The
       report_pvt  command will print information and warnings identifying the
       mismatched values, the relevant cell libraries, the number of  affected
       cells, and the operating conditions that will actually be used for tim-
       ing analysis.

WHAT NEXT
       Review the P/V/T operating conditions supported by  the  relevant  cell
       libraries.   Review  whether  specified  P/V/T  is missing some library
       cells.  Review the constraints for missing  or  incorrect  set_voltage,
       set_temperature,  set_process_number, set_process_label, or set_operat-
       ing_conditions commands.  Review the  UPF  data  for  an  incorrect  or
       incomplete  supply net configuration.  The report_pvt command will give
       more information about this situation.",[fill severity],"Corner %s:  %d process number, %d process label, %d voltage, and %d temperature mismatches. (MSG-3032)",[fill solution]
PVT-031,Warning,"NAME
       PVT-031 (warning)  %d cells affected for early, %d for late.

DESCRIPTION
       This  message is issued when there are mismatches between the specified
       and effective values of the process number, process label, voltage,  or
       temperature  operating conditions of a particular corner.  It describes
       the number of cells affected by the mismatched PVT values.  It will  be
       preceded by a PVT-030 warning, which lists the number of mismatches.

WHAT NEXT
       Review  the  P/V/T  operating conditions supported by the relevant cell
       libraries.  Review the constraints for missing or  incorrect  set_volt-
       age,   set_temperature,   set_process_number,   set_process_label,   or
       set_operating_conditions commands.  Review the UPF data for  an  incor-
       rect  or  incomplete  supply net configuration.  The report_pvt command
       will give more information about this situation.",[fill severity],"%d cells affected for early, %d for late. (MSG-3032)",[fill solution]
PVT-034,Warning,"NAME
       PVT-034  (warning)   %d  port  driving_cells affected for early, %d for
       late.

DESCRIPTION
       This message is issued when there are mismatches between the  specified
       and  effective values of the process number, process label, voltage, or
       temperature operating conditions of a particular corner.  It  describes
       the number of port driving_cells affected by the mismatched PVT values.
       It will be preceded by a PVT-030 warning, which  lists  the  number  of
       mismatches.

WHAT NEXT
       Review  the  P/V/T  operating conditions supported by the relevant cell
       libraries.  Review the constraints for missing or  incorrect  set_volt-
       age,   set_temperature,   set_process_number,   set_process_label,   or
       set_operating_conditions commands applied to the port or the top  level
       of the design.  The report_pvt command will give more information about
       this situation for a particular port.",[fill severity],"%d port driving_cells affected for early, %d for late. (MSG-3032)",[fill solution]
TCK-001,Warning,"NAME
       TCK-001  (Warning) The reported endpoint '%s' is unconstrained. Reason:
       %s.

DESCRIPTION
       The error message occurs when there are unconstrained endpoints in  the
       design.  The design is not fully constrained. There are several reasons
       for the unconstrained endpoints: false path, no check, unclocked,  dis-
       abeld check, case constant, or no arrival path.

WHAT NEXT
       The  violation  message  identifies  the unconstrained endpoint and the
       reason. You could check whether it is a expected behavior.",[fill severity],The reported endpoint '%s' is unconstrained. Reason: %s. (MSG-3032),[fill solution]
TCK-012,Warning,"NAME
       TCK-012 (Warning) The input port '%s' has no clock_relative delay spec-
       ified.

DESCRIPTION
       The reported input port is not a clock source. The port does  not  have
       an  input delay value, and it also has paths from it which are not dis-
       abled or false paths. In order to enable proper constraining  of  paths
       from  the  port,  a  realistic input delay needs to be provided for all
       data input ports.

WHAT NEXT
       The violation message will give you the input port which has  no  input
       delay  specified.   To  resolve  this  issue, consider specifying input
       delay for each non-clock source input port.  This  input  delay  should
       also be relative to a clock in the design.",[fill severity],The input port '%s' has no clock_relative delay specified. (MSG-3032),[fill solution]
TIM-207,Warning,"NAME
       TIM-207  (Warning)  Libraries  do not have CCS noise model for accurate
       waveform analysis in advanced waveform propagation mode.

DESCRIPTION
       When advanced waveform propagation analysis is enabled, it is  required
       that  the  stage driver cell has CCS noise model(s) for its timing arcs
       in  terms of  either  arc-based  or   pin-based   CCS  noise  model(s).
       When  such CCS noise model(s) are not present in the library,  analysis
       with  desired accuracy cannot be performed.

WHAT NEXT
       Fix the library to ensure that all library cell timing arcs have either
       arc-based or pin-based CCS noise models.

SEE ALSO
       time.delay_calc_waveform_analysis_mode (3)
       time.awp_compatibility_mode (3)",[fill severity],Warning: Libraries do not have CCS noise model for accurate waveform analysis in advanced waveform propagation mode. (TIM-207) (MSG-3032),[fill solution]
UIC-058,Warning,"NAME
       UIC-058  (warning) Scenario %s is not configured for %s analysis: skip-
       ping.

DESCRIPTION
       The specified scenario has not been activated for setup or hold  analy-
       sis.   Because  of this, no setup or hold timing paths can be found for
       it.

WHAT NEXT
       If setup or hold analysis is deliberately being skipped for  this  sce-
       nario,  this  warning  can  be  ignored.   Otherwise,  use the set_sce-
       nario_status command to activate this scenario for setup or hold analy-
       sis.",[fill severity],Warning: Scenario FUNC_0.85V_SETUP is not configured for hold analysis: skipping. (UIC-058) (MSG-3032),[fill solution]
ZRT-022,Warning,"NAME
       ZRT-022 (warn) Cannot find a default contact code for layer %s.

DESCRIPTION
       This  warning  message  indicates  that  a default contact code was not
       found for the specified layer. This is most likely  due  to  a  missing
       default contact code definition in the technology file.

WHAT NEXT
       Add  a  default  contact code definition to the technology file. If the
       specified layer is a nonrouting layer, such as V0, you can ignore  this
       message.",[fill severity],Warning: Cannot find a default contact code for layer CO. (ZRT-022) (MSG-3032),[fill solution]
ZRT-027,Warning,"NAME
       ZRT-027 (warn) Ignore %d top cell ports with no pins.

DESCRIPTION
       This  warning  message indicates that the design's top cell has logical
       ports which have no physical shapes attached to them.  The router  will
       ignore such ports.

WHAT NEXT
       Please check the top cell and create physical shapes for those ports if
       needed.",[fill severity],Warning: Ignore 2 top cell ports with no pins. (ZRT-027) (MSG-3032),[fill solution]
ZRT-044,Warning,"NAME
       ZRT-044 (warn) Standard cell pin %s/%s has no valid via regions.

DESCRIPTION
       Via  regions  are  useful  in  avoiding  DRCs  in accessing pins and in
       accessing pins off the routing grid. It is defined  with  the  matching
       via specified by the contact code number.

WHAT NEXT
       Please  check  for  DRCs  in  accessing this pin, and check ZRT-038 for
       error in contact code number, and generate the via  regions  if  neces-
       sary.",[fill severity],Warning: Standard cell pin LSUPX2_HVT/VDDL has no valid via regions. (ZRT-044) (MSG-3032),[fill solution]
ZRT-101,Warning,"NAME
       ZRT-101 (warning) Power net %s has no power preroutes, skip tie-off.

DESCRIPTION
       Power  net  has no power preroutes. Tie-off will be turned off for this
       net.

WHAT NEXT
       Please add power preroutes.",[fill severity],"Power net %s has no power preroutes, skip tie-off. (MSG-3032)",[fill solution]
ZRT-143,Warning,"NAME
       ZRT-143  (warning)  Secondary  PG  net  %s has no power stripe, skip to
       route.

DESCRIPTION
       Secondary PG net has no power stripe to connect.

WHAT NEXT
       Please add power stripe.",[fill severity],"Secondary PG net %s has no power stripe, skip to route. (MSG-3032)",[fill solution]
ZRT-311,Warning,"NAME
       ZRT-311  (warning)  Skipping antenna analysis for net %s. The pin %s on
       cell %s does not have enough gate area information.

DESCRIPTION
       One or more input pins of this net do not have the  correct  gate  area
       values.  So antenna analysis will not be done for this net.

       Limit for number of ZRT-311 messages is set to 100 by default for read-
       ability of the log file. In order to print more or all the ZRT-311 mes-
       sages,  set  this  message  limit to a very large number using set_mes-
       sage_info command.

WHAT NEXT
       Check and set correct gate area for all the input pins of  the  net  on
       all the metal & cut layers.
        If gate area of some pins is not available, consider using app options
       route.detail.default_gate_size   and   route.detail.default_port_exter-
       nal_gate_size.  Value set for these options will be used for pins with-
       out gate area information during antenna analysis.

       If the gate area is unspecified but the diffusion area is specified for
       some  pins, and you want to use the diffusion area for antenna analysis
       for   such   pins,    then    set    app    option    route.detail.ana-
       lyze_antenna_for_pins_with_diffusion_area to true.",[fill severity],Warning: Skipping antenna analysis for net bit_secure_0_slice_3_pout2mem[12]. The pin I2[0] on cell SRAM2RW16x4 does not have enough gate area information. (ZRT-311) (MSG-3032),[fill solution]
ZRT-626,Warning,"NAME
       ZRT-626  (warning)  High  fanout  net %s can affect runtime for antenna
       fixing.

DESCRIPTION
       The design has high fanout nets and antenna fixing is turned on.   Run-
       time of antenna check and fixing is affected by high fanout nets.

WHAT NEXT
       Please  check  the  design  and  address the high fanout net issue.  If
       antenna check is not needed for these nets, consider setting app option
       route.detail.max_antenna_pin_count.                              Option
       ""route.detail.max_antenna_pin_count"" specifies the  maximum  number  of
       pins on a net on which antenna checking is performed.",[fill severity],Warning: High fanout net clock_opt_cts_ZCTSNET_1274 can affect runtime for antenna fixing. (ZRT-626) (MSG-3032),[fill solution]
ZRT-739,Warning,"NAME
       ZRT-739  (warning)  Cell  %s  port  %s contains more than %d pin shapes
       (Number of pin shapes: %d).  This may increase routing runtime.

DESCRIPTION
       A port contains a large number of pin shapes.  This is atypical and may
       increase routing runtime.

WHAT NEXT
       If this is not expected, please reduce the number of pin shapes for the
       port.",[fill severity],Warning: Cell   port VSS contains more than 1000 pin shapes (Number of pin shapes: 68103).  This may increase routing runtime. (ZRT-739) (MSG-3032),[fill solution]
ZRT-740,Warning,"NAME
       ZRT-740 (warning)  %s is unplaced.  This may impact routing result.

DESCRIPTION
       A port is unplaced.  This is atypical and may impact routing result.

WHAT NEXT
       If this is not expected, please fix the issue.",[fill severity],Warning: Port sipo_sw_out of cell bit_coin is unplaced.  This may impact routing result. (ZRT-740) (MSG-3032),[fill solution]
ZRT-761,Warning,"NAME
       ZRT-761  (warning)  pin  is  off  track in the region (%.4f %.4f) (%.4f
       %.4f) on layer %s.

DESCRIPTION
       This pin is off track.

WHAT NEXT",[fill severity],pin is off track in the region (%.4f %.4f) (%.4f %.4f) on layer %s. (MSG-3032),[fill solution]
ZRT-762,Warning,"NAME
       ZRT-762  (warning)  Please  run  the command ""check_routability"" before
       running Zroute commands.

DESCRIPTION
       When  the  design  or  setting  is  changed,  please  run  the  command
       ""check_routability""  before  running  Zroute  commands. The command can
       detect incorrect desin and setting.  Please fix unexpected error to get
       better result of router.

WHAT NEXT
       Run the command ""check_routability"" before running Zroute commands.",[fill severity],"Warning: Please run the command ""check_routability"" before running Zroute commands. (ZRT-762) (MSG-3032)",[fill solution]
ZRT-763,Warning,"NAME
       ZRT-763  (warning)  Cell  %s  is placed overlapping with other cells at
       {{%.3f %.3f} {%.3f %.3f}}.

DESCRIPTION
       This warning message indicates that there are other  cells  overlapping
       with  this  cell.  This  is  a  roughly check for overlapped cell.  For
       detailed information, please run ""check_legality"".

WHAT NEXT
       Please make sure all the cells are placed legally  before  running  the
       router and run check_legality before running check_routability.",[fill severity],Warning: Cell clock_opt_opto_ctmTdsLR_2_259420_roptpi_259675 is placed overlapping with other cells at {{5387.936 1618.336} {5389.456 1620.008}}. (ZRT-763) (MSG-3032),[fill solution]
ZRT-764,Warning,"NAME
       ZRT-764 (warning) PG net %s has opens.

DESCRIPTION
       This  warning  message  indicates  the  open PG nets. This is a roughly
       check.  For detailed information, please run ""check_lvs"".

WHAT NEXT
       Please make sure all PG nets are connected and run check_lvs to fix the
       error.",[fill severity],Warning: PG net VDDH has opens. (ZRT-764) (MSG-3032),[fill solution]
ZRT-828,Warning,"NAME
       ZRT-828  (warn) Found AutoNdr rule %s by name when the auto ndr flow is
       not enabled.

DESCRIPTION
       Found AutoNdr rule with soft rules but the AutoNdr flow is not enabled.
       The soft violations caused by this rule will not be reported.

WHAT NEXT
       See the setting of route.detail.enable_auto_ndr_flow",[fill severity],Warning: Found AutoNdr rule _snps_autoNdr_power by name when the auto ndr flow is not enabled. (ZRT-828) (MSG-3032),[fill solution]
